"congresistaid";"categoría";"fecha"
3;146;"2008-05-28"
3;45;"2008-05-27"
3;149;"2008-06-18"
3;151;"2007-12-11"
3;147;"2008-05-28"
3;50;"2007-06-14"
3;149;"2008-04-08"
3;110;"2006-12-12"
3;110;"2006-12-14"
3;36;"2006-12-12"
3;12;"2007-12-12"
3;155;"2006-10-25"
7;12;"2010-06-16"
7;97;"2010-06-17"
7;33;"2009-11-25"
7;33;"2009-11-24"
7;115;"2009-11-17"
7;115;"2009-11-24"
7;50;"2009-12-16"
7;116;"2009-08-12"
7;47;"2009-08-12"
7;117;"2009-08-12"
7;78;"2010-06-16"
7;4;"2009-08-11"
7;4;"2009-12-17"
7;120;"2009-12-16"
7;121;"2009-11-11"
7;33;"2010-05-04"
7;33;"2010-05-11"
7;33;"2009-12-10"
7;124;"2010-06-16"
7;72;"2009-10-20"
7;72;"2009-09-30"
7;72;"2009-12-15"
7;46;"2010-06-08"
7;125;"2010-06-16"
7;84;"2009-11-03"
7;84;"2009-11-11"
7;8;"2010-06-08"
7;8;"2010-06-09"
7;132;"2009-12-14"
7;132;"2009-12-16"
7;133;"2009-11-17"
7;110;"2008-12-15"
7;135;"2009-10-27"
7;27;"2009-12-14"
7;27;"2010-05-04"
7;56;"2009-12-15"
7;56;"2009-12-16"
7;83;"2009-10-27"
7;21;"2010-06-17"
7;47;"2010-06-08"
7;143;"2009-08-11"
7;144;"2009-10-27"
7;144;"2009-12-15"
7;144;"2009-12-14"
7;144;"2009-12-16"
7;145;"2008-05-21"
7;148;"2008-12-15"
7;149;"2009-06-10"
7;149;"2008-12-15"
7;149;"2009-06-09"
7;150;"2009-11-17"
7;152;"2009-11-03"
7;8;"2009-12-15"
7;8;"2007-12-11"
7;18;"2009-06-17"
7;18;"2009-06-18"
7;18;"2009-09-29"
7;48;"2010-06-08"
7;50;"2007-06-05"
7;110;"2006-12-12"
7;36;"2006-12-06"
7;36;"2007-06-14"
7;148;"2008-06-04"
8;110;"2008-12-15"
8;148;"2008-12-15"
8;149;"2008-12-15"
10;12;"2010-06-02"
10;12;"2010-06-16"
10;72;"2010-06-08"
10;97;"2010-06-17"
10;112;"2010-06-08"
10;4;"2010-06-15"
10;4;"2010-06-16"
10;4;"2010-06-08"
10;78;"2010-06-16"
10;123;"2010-06-09"
10;92;"2010-06-08"
10;124;"2010-06-16"
10;46;"2010-06-08"
10;116;"2010-06-15"
10;8;"2010-06-08"
10;8;"2010-06-09"
10;21;"2010-06-17"
10;47;"2010-06-08"
10;48;"2010-06-08"
12;70;"2010-06-16"
12;70;"2010-06-02"
12;50;"2010-06-09"
12;71;"2010-06-17"
12;74;"2010-05-19"
12;50;"2010-05-19"
12;76;"2010-06-09"
12;77;"2010-05-19"
12;78;"2010-05-19"
12;78;"2010-06-15"
12;79;"2010-06-09"
12;50;"2010-06-08"
12;47;"2010-05-19"
12;80;"2010-06-08"
12;80;"2010-06-09"
12;81;"2010-06-09"
12;82;"2010-06-08"
12;47;"2010-06-08"
12;86;"2009-12-15"
12;68;"2010-06-15"
12;4;"2010-04-27"
12;4;"2010-05-05"
12;89;"2010-06-09"
12;12;"2009-11-04"
12;12;"2010-06-02"
12;12;"2010-06-15"
12;91;"2010-06-17"
12;93;"2010-06-16"
12;4;"2009-12-10"
12;95;"2010-05-05"
12;96;"2010-06-08"
12;95;"2009-12-01"
12;72;"2009-12-14"
12;72;"2009-10-28"
12;97;"2010-04-06"
12;4;"2009-11-04"
12;4;"2009-12-01"
12;4;"2009-11-11"
12;104;"2010-06-08"
12;12;"2010-05-19"
12;72;"2010-05-05"
12;72;"2009-12-10"
12;106;"2010-05-05"
12;35;"2009-12-10"
12;4;"2009-10-28"
12;4;"2009-12-14"
12;113;"2010-06-17"
12;113;"2010-06-16"
12;112;"2009-12-02"
12;4;"2009-12-15"
12;48;"2009-11-24"
12;114;"2009-12-16"
12;47;"2009-11-24"
12;118;"2009-12-15"
12;78;"2009-12-10"
12;37;"2009-12-02"
12;41;"2009-12-09"
12;119;"2010-04-20"
12;119;"2010-04-27"
12;122;"2009-12-14"
12;92;"2009-12-14"
12;33;"2009-12-14"
12;33;"2010-04-27"
12;124;"2010-06-16"
12;124;"2009-12-16"
12;125;"2009-11-24"
12;84;"2009-11-11"
12;116;"2009-12-16"
12;128;"2009-12-02"
12;8;"2009-11-24"
12;8;"2010-06-16"
12;132;"2009-12-16"
12;133;"2009-11-24"
12;133;"2009-11-19"
12;136;"2010-05-18"
12;136;"2010-04-27"
12;56;"2009-12-16"
12;138;"2009-12-15"
12;138;"2009-12-16"
12;21;"2009-12-15"
12;143;"2009-11-19"
12;144;"2009-12-17"
12;9;"2009-12-14"
12;3;"2009-12-16"
12;146;"2008-05-28"
12;45;"2008-05-27"
12;149;"2009-06-18"
12;149;"2008-06-18"
12;151;"2007-12-11"
12;152;"2009-11-19"
12;107;"2009-12-01"
12;147;"2008-05-28"
12;8;"2009-12-14"
12;18;"2009-12-15"
12;18;"2009-12-01"
12;50;"2007-06-14"
12;149;"2008-04-08"
12;44;"2010-04-20"
12;110;"2006-12-12"
12;110;"2006-12-14"
12;36;"2006-12-12"
12;12;"2007-12-12"
12;155;"2006-10-25"
13;70;"2010-06-16"
13;71;"2010-06-17"
13;72;"2010-06-08"
13;78;"2010-06-15"
13;40;"2010-06-08"
13;82;"2010-06-08"
13;83;"2010-06-08"
13;68;"2010-06-15"
13;68;"2009-12-15"
13;6;"2010-06-08"
13;12;"2010-06-15"
13;91;"2010-06-17"
13;93;"2010-06-16"
13;6;"2009-12-02"
13;6;"2009-11-11"
13;52;"2010-06-08"
13;72;"2009-12-14"
13;97;"2010-04-06"
13;104;"2009-09-30"
13;104;"2010-06-08"
13;105;"2009-09-30"
