Distrito Uno Fray Damián;Estación Terrón Colorado;Avenida 4 BIS Oeste # 19-00
Distrito Uno Fray Damián;Subestación Montebello;Calle 12 Oeste No 42-71 Cgto Montebello
Distrito Uno Fray Damián;Subestación Saladito;KM.14 Vía al mar corregimiento El Saladito
Distrito Uno Fray Damián;Subestación Felidia;Calle Principal Corregimiento Felidia
Distrito Uno Fray Damián;Subestación La Elvira;Calle Principal Corregimiento La Elvira
Distrito Uno Fray Damián;Subestación Tres Cruces;Cerro Tres Cruces
Distrito Uno Fray Damián;Subestación Tres Cruces;KM 9 vía Cali-Buenaventura
Distrito Uno Fray Damián;Estación la Flora;AV. 3N. cona calle 23C B/Versalles
Distrito Uno Fray Damián;Estación la Flora;Terminal de Cali
Distrito Uno Fray Damián;Estación la Flora;AV.6 con calle 30
Distrito Uno Fray Damián;Estación la Flora;AV. 2 con calle 52
Distrito Uno Fray Damián;Estación la Flora;AV. 3 con calle 44
Distrito Uno Fray Damián;Estación la Flora;AV. 4 Oeste
Distrito Uno Fray Damián;Estación Fray Damian;Calle 13A No. 13-41
Distrito Uno Fray Damián;Estación Fray Damián;Carrera 10 # 1 OE - 00
Distrito Uno Fray Damián;Estación Fray Damián;Calle 3 # 14 - 00
Distrito Uno Fray Damián;Estación Fray Damián;Calle 3 # 14 - 00
Distrito Uno Fray Damián;Estación San Francisco;Carrera 1N # 33-00
Distrito Uno Fray Damián;Estación Junín;Carrera 24 # 11-08
Distrito Uno Fray Damián;Estación Junín;Carrera 10 entre Calle 22A y 23
Distrito Dos la Rivera;Estación la Rivera;Carrera 1D # 67-00 B/La Rivera
Distrito Dos la Rivera;Estación la Rivera;Carrera 1 & Calle 70 B/ Metropolitano
Distrito Dos la Rivera;Estación la Rivera;Carrera 5 & Calle 52 B/ Salomia
Distrito Dos la Rivera;Estación Floralia;Calle 72J No. 3AN-00 B/ Floralia
Distrito Dos la Rivera;Estación Floralia;Carrera 1 con Calle 83 B/ Calimio
Distrito Dos la Rivera;Estación Floralia;Calle 73 con Carrera 3D B/ Quintas de Salomia
Distrito Dos la Rivera;Estación Alfonso López;Carrera 7D # 82-00 B/Alfonso López
Distrito Dos la Rivera;Estación Alfonso López;Calle 69 # 7C-00
Distrito Dos la Rivera;Estación Municipal;Carrera 13 # 39-33 B/Municipal
Distrito Dos la Rivera;Estación Agua Blanca;Calle 26A # 25-28
Distrito Dos la Rivera;Estación Agua Blanca;Calle 36 & KRA 47
Distrito Dos la Rivera;Estación Nueva Floresta;Calle 44 # 24B-00 B/ Floresta
Distrito Tres el Lido;Estación Guabal;Carrera 44 # 14B-75
Distrito Tres el Lido;Estación Caney;Carrera 81 # 47-00 B/Caney
Distrito Tres el Lido;Estación Caney;AV. 5B con carrera 56
Distrito Tres el Lido;Estación Caney;Carrera 100 con calle 20
Distrito Tres el Lido;Estación Meléndez;Calle 4 # 93-00
Distrito Tres el Lido;Subestación Buitrera;Sector El Plan
Distrito Tres el Lido;Subestación Buitrera;Carrera 77 calle 2A
Distrito Tres el Lido;Estación Lido;Carrera 52 # 2-00
Distrito Tres el Lido;Subestación Pichindé;Vía principal corregimiento Pichinde
Distrito Tres el Lido;Subestación Pichindé;AV. Circunvalar con Carrera 4
Distrito Tres el Lido;Subestación Pichindé;Calle 5 Con CRA 36
Distrito Tres el Lido;Subestación Pichindé;Calle 1 OESTE Con 56
Distrito Tres el Lido;Subestación Pichindé;KM. 6 Vía Cristo Rey
Distrito Tres el Lido;Subestación Pichindé;Calle 2 OESTE Con CRA 24
Distrito Tres el Lido;Estación Sultana;Calle 22 oeste No.47-29 B/ La Sultana
Distrito Tres el Lido;Estación Sultana;Carrera 51 # 7-33 Barrio El Cortijo
Distrito Cuatro los Mangos;Estación Diamante;Calle 41 # 32A -16
Distrito Cuatro los Mangos;Estación Diamante;Carrera 28C con calle 71
Distrito Cuatro los Mangos;Estación Diamante;Carrera 25U con calle 72U
Distrito Cuatro los Mangos;Estación Los Mangos;Calle 73 # Diag. 26 M-90 B/Marroquín II
Distrito Cuatro los Mangos;Estación Mangos;Calle 112 con carrera 26
Distrito Cuatro los Mangos;Estación Mangos;Calle 103 con carrerera 28A
Distrito Cuatro los Mangos;Estación Mangos;Carrera 26C con calle 84
Distrito Cuatro los Mangos;Estación Vallado;Carrera 41B # 50-02
Distrito Cuatro los Mangos;Estación Vallado;Calle 83 con Carrera 28D4
Distrito Cuatro los Mangos;Estación Mariano Ramos;Carrera 48 # 45-03
Distrito Cuatro los Mangos;Estación Desepaz;Calle 121 # 25-00
Distrito Cuatro los Mangos;Estación Desepaz;Calle 123 Con caarrera 28D2 B/ Potrero Grande
Distrito Cuatro los Mangos;Estación Desepaz;Calle 123 con carrera 28F B/ Pizamos
Distrito Cinco Yumbo;Estación Yumbo;Calle 4 # 5-35 B/Belalcazar
Distrito Cinco Yumbo;Subestación Dapa;Vereda miravalle KM 9 Via Dapa
Distrito Cinco Yumbo;Subestación Dapa;Cslle 10 con carrera 40 Acopi-Yumbo
Distrito Cinco Yumbo;Subestación Dapa;Calle 10 con carrera 18 B/Las Americas
Distrito Cinco Yumbo;Subestación Dapa;Calle 18 con carrera 13A B/La Estancia
Distrito Cinco Yumbo;Subestación Dapa;Calle 5AN # 10AN-09 B/Pizarro
Distrito Cinco Yumbo;Subestación Dapa;KM. 6 VIA Yumbo - Vijes
Distrito Cinco Yumbo;Estación Vijes;Carrera 5 # 5- 23 B/Centro
Distrito Cinco Yumbo;Estación La Cumbre;Carrera 5 # 2 -10
Distrito Cinco Yumbo;Subestación Pavas;Carrera 8 con calle 4 esquina
Distrito Seis Jamundí;Estación Jamundí;Carrera 10 # 17-02
Distrito Seis Jamundí;Estación La María;Carrera 125 # 24-00
Distrito Seis Jamundí;Subestación Hormiguero;Calle principal casa 256
Distrito Seis Jamundí;Subestación La Vorágine;Vía Principal
Distrito Siete Candelaria;Estación Candelaria;Carrera 6 # 8-50
Distrito Siete Candelaria;Subestación Cabuyal;Carrera 6 # 5-16
Distrito Siete Candelaria;Subestación Carmelo;Calle 14 # 10-09 B/Oaisis
Distrito Siete Candelaria;Subestación San Joaquín;Carrera 5C con calle 7
Distrito Siete Candelaria;Subestación Villa Gorgona;Carrera 11 # 12-28
Distrito Siete Candelaria;Subestación Juanchito;Carrera 8º # 93-58
Distrito Siete Candelaria;Subestación Radio Faro;Callejon Pio Pio
