0;20 de Julio;65;62
1;3 de Julio;66;35
2;Acueducto san antonio;54;31
3;Agua Blanca;67;57
4;Aguacatal;41;17
5;Alameda;67;40
6;Alferez Real;109;26
7;Alfonso Barberena A.;64;67
8;Alfonso Bonilla Aragón;80;92
9;Alfonso Lopez I;35;95
10;Alfonso Lopez II;41;94
11;Alfonso Lopez III;45;93
12;Alirio Mora Beltran;61;96
13;Alto Napoles;115;19
14;Altos de Menga;9;41
15;Antonio Nariño;85;68
16;Aranjuez;64;51
17;Atanasio Girardot;55;66
18;Belalcazar;58;53
19;Belen;73;21
20;Belisario Caicedo;86;18
21;Bellavista;55;22
22;Benjamin Herrera;52;58
23;Bolivariano;32;60
24;Bosques del Limonar;99;40
25;Bretana;60;43
26;Brisas de los Alamos;7;70
27;Brisas de Mayo;83;12
28;Brisas del Limonar;98;52
29;Buenos Aires;107;25
30;Caldas;104;25
31;Calimio Desepaz;85;106
32;Calypso;74;75
33;Camino Real J Borrero;91;30
34;Caney;115;56
35;Cañaverales Los Samanes;97;49
36;Chapinero;55;73
37;Charco Azul;58;89
38;Chiminangos I;23;84
39;Ciudad 2000;106;56
40;Ciudad Capri;110;33
41;Ciudad Cordoba;96;69
42;Ciudad De Los Alamos;13;66
43;Ciudad Talanga;66;105
44;Ciudad Comfandi;115;52
45;Ciudadela Del Rio;75;109
46;Ciudadela Foralia;4;81
47;Compartir;68;109
48;Cristobal Colon;79;50
49;Departamental;84;39
50;Desepaz Invicali;74;111
51;El Diamante;78;72
52;Eduardo Santos;70;69
53;El Bosque;14;45
54;El Calvario;49;44
55;El Cedro;67;37
56;El Cortijo;83;15
57;El Dorado;79;45
58;El Guabal;84;47
59;El Ingenio;117;44
60;El Jardin;74;57
61;El Jordan;124;23
62;El Lido;80;24
63;El Limonar;96;45
64;El Mortinal;57;24
65;El Paraiso;68;67
66;El Peñon;49;33
67;El Poblado I;81;77
68;El Poblado II;79;84
69;El Prado;65;58
70;El Refugio;101;24
71;El Remanso;82;110
72;El Retiro;89;76
73;El Rodeo;64;69
74;El Trebol;56;78
75;El Vergel;83;75
76;Evaristo Garcia;24;68
77;Fepicol;37;89
78;Flora Industrial;19;70
79;Fonaviemcali;15;85
80;Francisco Eladio Ramirez;111;26
81;Granada;40;40
82;Guayaquil;60;47
83;Guillermo Valencia;27;64
84;Industrial;47;59
85;Jorge Eliecer Gaitan;30;93
86;Jorge Isaacs;42;56
87;Jose Holguin Garces;91;53
88;Jose Manuel Marroquin II;75;94
89;Jose Maria Cordoba;77;64
90;Julio Rincon;73;73
91;Junin;66;46
92;La Base;50;79
93;La Campiña;18;47
94;La Floresta;55;62
95;La Fortaleza;73;62
96;La Gran Colombia;78;68
97;La Hacienda;104;44
98;La Independencia;83;55
99;La Isla;27;61
100;La Merced;50;39
101;La Rivera I;25;89
102;La Sultana;77;10
103;Las Acacias;66;53
104;Las Americas;52;68
105;Las Ceibas;44;86
106;Las Orquideas;85;98
107;Las Quintas de Don Simon;110;39
108;Laureano Gomez;88;79
109;Leon XIII;73;65
110;Lili;126;54
111;Lleras Camargo;80;13
112;Los Alcazares;12;82
113;Los Andes B - La Rivera;30;79
114;Los Andes;29;75
115;Los Chorros;105;20
116;Los Comuneros I;87;82
117;Los Comuneros II;74;81
118;Los Conquistadores;74;68
119;Los Guayacanes;27;85
120;Los Lagos;70;88
121;Los Lideres;80;108
122;Los Naranjos I;66;93
123;Los Naranjos II;66;98
124;Los Pinos;41;89
125;Los Robles;78;79
126;Los Sauces;82;61
127;Lourdes;108;19
128;Manuela Beltran;79;103
129;Mariano Ramos;96;58
130;Mario Correa Rengifo;112;17
131;Marroquin III;67;89
132;Melendez;121;29
133;Metropolitano del Norte;18;83
134;Mojica;84;86
135;Morichal de Comafandi;102;70
136;Napoles;113;26
137;Normandia;47;30
138;Nueva Floresta;61;79
139;Nueva Tequendama;86;31
140;Obrero;52;54
141;Olaya Herrera;22;66
142;Omar Torrijos;75;88
143;Parcelaciones Pance;156;40
144;Paso del Comercio;6;87
145;Petecuy I;25;95
146;Petecuy II;20;93
147;Petecuy III;23;94
148;Pizamos I;97;100
149;Pizamos II;95;102
150;Pizamos III;91;99
151;Polvoines;128;20
152;Porvenir;40;60
153;Potrero Grande;92;105
154;Prados del Limonar;109;46
155;Prados del Norte;29;54
156;Prados del Oriente;66;60
157;Prados del Sur;111;19
158;Primavera;77;65
159;Primero de Mayo;93;41
160;Primitivo Crespo;61;58
161;Promociones Populares;74;102
162;Puertas del Sol;67;101
163;Puerto Mallarino;49;91
164;Puerto Nuevo;46;98
165;Republica Israel;92;61
166;Rodrigo Lara Bonilla;72;86
167;Saavedra Galindo;58;60
168;Salomia;35;69
169;San Benito;71;65
170;San Fernando Nuevo;73;31
171;San Juan Bosco;55;42
172;San Judas Tadeo I;91;50
173;San Judas Tadeo II;85;51
174;San Luis;19;88
175;San Luis II;11;86
176;San Marino;39;87
177;San Nicolas;44;50
178;San Pascual;54;46
179;San Pedro Claver;72;72
180;San Vicente;34;47
181;Santa Anita;99;40
182;Santa Elena;71;50
183;Santa Fe;59;69
184;Santa Isabel;71;26
185;Santa Monica Popular;62;64
186;Santa Rosa;53;40
187;Santo Domingo;87;42
188;Sector Altos de Normandia;41;39
189;Sector Melendez;123;28
190;Siete de Agosto;52;89
191;Siloe;79;17
192;Simon Bolivar;57;57
193;Sindical;69;74
194;Sucre;52;50
195;Tejares Cristales;57;24
196;Terron Colorado;45;22
197;Tierra Blanca;81;16
198;Ulpiano Lloreda;58;85
199;Unidad Bueno Madrid;32;59
200;Union de Vivienda Popular;89;65
201;Urbanizacion Ciudad Jardin;135;39
202;Urbanizacion Santa Elena;77;51
203;Urbanizacion Calimio;12;90
204;Villamercedes I - Villa Luz - Las Garzas;90;96
205;Vallado;92;75
206;Valle Grande;63;104
207;Venezuela - Urbanización Canaveralejo;85;16
208;Versalles;38;46
209;Villablanca;71;79
210;Villa del Lago;61;86
211;Villa del Prado - El Guabito;34;84
212;Villa del Sur;88;55
213;Villa San Marcos;73;100
214;Villacolombia;50;75
215;Villanueva;70;65
216;Vista Hermosa;46;4
217;Yira Castro;73;77
