0;20 de Julio;65;62;0
1;3 de Julio;66;35;1
2;Acueducto san antonio;54;31;0
3;Agua Blanca;67;57;3
4;Aguacatal;41;17;3
5;Alameda;67;40;4
6;Alferez Real;109;26;1
7;Alfonso Barberena A.;64;67;0
8;Alfonso Bonilla Aragón;80;92;17
9;Alfonso Lopez I;35;95;9
10;Alfonso Lopez II;41;94;1
11;Alfonso Lopez III;45;93;2
12;Alirio Mora Beltran;61;96;9
13;Alto Napoles;115;19;3
14;Altos de Menga;9;41;3
15;Antonio Nariño;85;68;8
16;Aranjuez;64;51;0
17;Atanasio Girardot;55;66;2
18;Belalcazar;58;53;11
19;Belen;73;21;1
20;Belisario Caicedo;86;18;3
21;Bellavista;55;22;5
22;Benjamin Herrera;52;58;2
23;Bolivariano;32;60;1
24;Bosques del Limonar;99;40;1
25;Bretana;60;43;5
26;Brisas de los Alamos;7;70;6
27;Brisas de Mayo;83;12;18
28;Brisas del Limonar;98;52;1
29;Buenos Aires;107;25;1
30;Caldas;104;25;1
31;Calimio Desepaz;85;106;7
32;Calypso;74;75;4
33;Camino Real J Borrero;91;30;2
34;Caney;115;56;5
35;Cañaverales Los Samanes;97;49;1
36;Chapinero;55;73;1
37;Charco Azul;58;89;10
38;Chiminangos I;23;84;3
39;Ciudad 2000;106;56;3
40;Ciudad Capri;110;33;1
41;Ciudad Cordoba;96;69;18
42;Ciudad De Los Alamos;13;66;5
43;Ciudad Talanga;66;105;6
44;Ciudad Comfandi;115;52;3
45;Ciudadela Del Rio;75;109;1
46;Ciudadela Foralia;4;81;17
47;Compartir;68;109;5
48;Cristobal Colon;79;50;2
49;Departamental;84;39;1
50;Desepaz Invicali;74;111;10
51;El Diamante;78;72;5
52;Eduardo Santos;70;69;6
53;El Bosque;14;45;1
54;El Calvario;49;44;10
55;El Cedro;67;37;2
56;El Cortijo;83;15;6
57;El Dorado;79;45;1
58;El Guabal;84;47;6
59;El Ingenio;117;44;5
60;El Jardin;74;57;6
61;El Jordan;124;23;3
62;El Lido;80;24;4
63;El Limonar;96;45;1
64;El Mortinal;57;24;1
65;El Paraiso;68;67;2
66;El Peñon;49;33;1
67;El Poblado I;81;77;9
68;El Poblado II;79;84;20
69;El Prado;65;58;1
70;El Refugio;101;24;1
71;El Remanso;82;110;3
72;El Retiro;89;76;23
73;El Rodeo;64;69;10
74;El Trebol;56;78;1
75;El Vergel;83;75;16
76;Evaristo Garcia;24;68;4
77;Fepicol;37;89;2
78;Flora Industrial;19;70;6
79;Fonaviemcali;15;85;2
80;Francisco Eladio Ramirez;111;26;1
81;Granada;40;40;1
82;Guayaquil;60;47;4
83;Guillermo Valencia;27;64;1
84;Industrial;47;59;2
85;Jorge Eliecer Gaitan;30;93;4
86;Jorge Isaacs;42;56;2
87;Jose Holguin Garces;91;53;2
88;Jose Manuel Marroquin II;75;94;15
89;Jose Maria Cordoba;77;64;1
90;Julio Rincon;73;73;1
91;Junin;66;46;1
